"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
01.01.2013;8040;8041;3,90;2,90;1,00
02.01.2013;8041;8053;19,90;7,90;12,00
03.01.2013;8053;8053;2,00;2,00;0,00
04.01.2013;8053;8054;2,10;1,10;1,00
05.01.2013;8054;8054;0,40;0,40;0,00
06.01.2013;8054;8054;1,20;1,20;0,00
07.01.2013;8054;8056;7,00;5,00;2,00
08.01.2013;8056;8063;11,10;4,10;7,00
09.01.2013;8063;8071;16,20;8,20;8,00
10.01.2013;8071;8072;3,20;2,20;1,00
11.01.2013;8072;8074;4,50;2,50;2,00
12.01.2013;8074;8074;0,10;0,10;0,00
13.01.2013;8074;8074;0,40;0,40;0,00
14.01.2013;8074;8074;0,10;0,10;0,00
15.01.2013;8074;8081;12,10;5,10;7,00
16.01.2013;8081;8081;0,00;0,00;0,00
17.01.2013;8081;8081;0,00;0,00;0,00
18.01.2013;8081;8081;0,50;0,50;0,00
19.01.2013;8081;8081;2,00;2,00;0,00
20.01.2013;8081;8081;3,50;3,50;0,00
21.01.2013;8081;8081;0,20;0,20;0,00
22.01.2013;8081;8082;4,00;3,00;1,00
23.01.2013;8082;8102;31,30;11,30;20,00
24.01.2013;8102;8102;2,40;2,40;0,00
25.01.2013;8102;8103;3,80;2,80;1,00
26.01.2013;8103;8106;8,70;5,70;3,00
27.01.2013;8106;8111;13,20;8,20;5,00
28.01.2013;8111;8122;17,60;6,60;11,00
29.01.2013;8122;8123;3,60;2,60;1,00
30.01.2013;8123;8124;5,80;4,80;1,00
31.01.2013;8124;8129;14,80;9,80;5,00
01.02.2013;8129;8129;2,90;2,90;0,00
02.02.2013;8129;8130;2,80;1,80;1,00
03.02.2013;8130;8131;7,10;6,10;1,00
04.02.2013;8131;8131;2,70;2,70;0,00
05.02.2013;8131;8136;8,50;3,50;5,00
06.02.2013;8136;8136;0,00;0,00;0,00
07.02.2013;8136;8136;0,00;0,00;0,00
08.02.2013;8136;8137;1,30;0,30;1,00
09.02.2013;8137;8137;0,20;0,20;0,00
10.02.2013;8137;8148;17,20;6,20;11,00
11.02.2013;8148;8162;23,10;9,10;14,00
12.02.2013;8162;8164;5,30;3,30;2,00
13.02.2013;8164;8187;31,00;8,00;23,00
14.02.2013;8187;8216;38,80;9,80;29,00
15.02.2013;8216;8216;0,80;0,80;0,00
16.02.2013;8216;8220;8,60;4,60;4,00
17.02.2013;8220;8223;10,70;7,70;3,00
18.02.2013;8223;8242;26,70;7,70;19,00
19.02.2013;8242;8247;11,80;6,80;5,00
20.02.2013;8247;8257;15,20;5,20;10,00
21.02.2013;8257;8263;10,20;4,20;6,00
22.02.2013;8263;8268;11,30;6,30;5,00
23.02.2013;8268;8271;5,30;2,30;3,00
24.02.2013;8271;8271;2,60;2,60;0,00
25.02.2013;8271;8271;3,00;3,00;0,00
26.02.2013;8271;8271;3,60;3,60;0,00
27.02.2013;8271;8271;0,90;0,90;0,00
28.02.2013;8271;8273;4,70;2,70;2,00
01.03.2013;8273;8273;5,80;5,80;0,00
02.03.2013;8273;8290;21,80;4,80;17,00
03.03.2013;8290;8331;51,00;10,00;41,00
04.03.2013;8331;8375;53,80;9,80;44,00
05.03.2013;8375;8411;48,70;12,70;36,00
06.03.2013;8411;8441;39,80;9,80;30,00
07.03.2013;8441;8474;38,90;5,90;33,00
08.03.2013;8474;8510;43,90;7,90;36,00
09.03.2013;8510;8541;39,10;8,10;31,00
10.03.2013;8541;8555;19,30;5,30;14,00
11.03.2013;8555;8555;3,90;3,90;0,00
12.03.2013;8555;8565;15,80;5,80;10,00
13.03.2013;8565;8565;3,50;3,50;0,00
14.03.2013;8565;8584;25,30;6,30;19,00
15.03.2013;8584;8611;37,60;10,60;27,00
16.03.2013;8611;8652;51,20;10,20;41,00
17.03.2013;8652;8656;10,70;6,70;4,00
18.03.2013;8656;8659;6,60;3,60;3,00
19.03.2013;8659;8683;32,70;8,70;24,00
20.03.2013;8683;8695;17,70;5,70;12,00
21.03.2013;8695;8716;26,90;5,90;21,00
22.03.2013;8716;8762;57,50;11,50;46,00
23.03.2013;8762;8772;17,50;7,50;10,00
24.03.2013;8772;8795;35,40;12,40;23,00
25.03.2013;8795;8795;0,00;0,00;0,00
26.03.2013;8795;8795;0,00;0,00;0,00
27.03.2013;8795;8801;8,10;2,10;6,00
28.03.2013;8801;8815;19,30;5,30;14,00
29.03.2013;8815;8862;53,50;6,50;47,00
30.03.2013;8862;8866;8,30;4,30;4,00
31.03.2013;8866;8876;13,90;3,90;10,00
01.04.2013;8876;8929;61,00;8,00;53,00
02.04.2013;8929;8936;11,10;4,10;7,00
03.04.2013;8936;8954;23,90;5,90;18,00
04.04.2013;8954;8991;44,10;7,10;37,00
05.04.2013;8991;8995;10,20;6,20;4,00
06.04.2013;8995;8998;8,50;5,50;3,00
07.04.2013;8998;9016;27,40;9,40;18,00
08.04.2013;9016;9035;27,60;8,60;19,00
09.04.2013;9035;9053;27,70;9,70;18,00
10.04.2013;9053;9072;27,20;8,20;19,00
11.04.2013;9072;9081;14,80;5,80;9,00
12.04.2013;9081;9119;46,70;8,70;38,00
13.04.2013;9119;9161;47,40;5,40;42,00
14.04.2013;9161;9210;54,60;5,60;49,00
15.04.2013;9210;9248;53,10;15,10;38,00
16.04.2013;9248;9279;41,10;10,10;31,00
17.04.2013;9279;9323;51,20;7,20;44,00
18.04.2013;9323;9354;38,80;7,80;31,00
19.04.2013;9354;9360;11,50;5,50;6,00
20.04.2013;9360;9360;3,40;3,40;0,00
21.04.2013;9360;9364;8,40;4,40;4,00
22.04.2013;9364;9372;14,30;6,30;8,00
23.04.2013;9372;9415;51,30;8,30;43,00
24.04.2013;9415;9466;59,30;8,30;51,00
25.04.2013;9466;9509;59,70;16,70;43,00
26.04.2013;9509;9535;33,60;7,60;26,00
27.04.2013;9535;9536;5,10;4,10;1,00
